pattern_id,timestamp,node_id,context,current_load,peak_load,avg_load,duration_hours,node_type,pattern_type,priority_tier,weather_condition
hospital_001_pattern_0000,1772687205.732563,hospital_001,Normal operational pattern for hospital during morning hours,152.2,212.26,142.36,6.2,hospital,normal_operation,1,mild
hospital_001_pattern_0001,1772712422.0062232,hospital_001,Normal operational pattern for hospital during evening peak,151.89,197.78,122.32,4.24,hospital,normal_operation,1,clear
hospital_001_pattern_0002,1772737668.710059,hospital_001,Normal operational pattern for hospital during night hours,177.27,252.39,142.04,5.76,hospital,normal_operation,1,mild
hospital_001_pattern_0003,1772769013.9563506,hospital_001,Normal operational pattern for hospital during morning hours,202.46,249.96,165.72,5.24,hospital,normal_operation,1,clear
hospital_001_pattern_0004,1772800370.194961,hospital_001,Emergency or surge demand pattern for hospital during evening peak,381.63,501.65,379.58,5.04,hospital,emergency_surge,1,cloudy
hospital_001_pattern_0005,1772827254.2158341,hospital_001,Reduced load during maintenance for hospital during night hours,61.36,81.67,57.74,5.71,hospital,maintenance_mode,1,clear
hospital_001_pattern_0006,1772852485.7607584,hospital_001,Normal operational pattern for hospital during morning hours,152.86,174.32,130.79,4.64,hospital,normal_operation,1,hot
hospital_001_pattern_0007,1772875580.655149,hospital_001,Normal operational pattern for hospital during afternoon period,155.2,228.87,144.28,5.68,hospital,normal_operation,1,hot
hospital_001_pattern_0008,1772899970.8046024,hospital_001,Reduced load during maintenance for hospital during evening peak,36.6,54.75,33.96,2.98,hospital,maintenance_mode,1,hot
hospital_001_pattern_0009,1772921126.43803,hospital_001,Reduced load during maintenance for hospital during night hours,28.88,32.13,24.92,6.66,hospital,maintenance_mode,1,clear
hospital_001_pattern_0010,1772949546.4199486,hospital_001,Optimized high-efficiency operation for hospital during morning hours,204.43,278.47,179.72,14.76,hospital,peak_efficiency,1,mild
hospital_001_pattern_0011,1773010277.1878443,hospital_001,Normal operational pattern for hospital during night hours,175.36,211.32,160.79,5.97,hospital,normal_operation,1,mild
hospital_001_pattern_0012,1773038612.5064306,hospital_001,Normal operational pattern for hospital during afternoon period,171.81,195.23,139.06,11.98,hospital,normal_operation,1,clear
hospital_001_pattern_0013,1773091447.409623,hospital_001,Reduced load during maintenance for hospital during night hours,20.38,25.53,20.36,4.53,hospital,maintenance_mode,1,cloudy
hospital_001_pattern_0014,1773121801.652464,hospital_001,Optimized high-efficiency operation for hospital during morning hours,225.28,309.23,204.41,6.11,hospital,peak_efficiency,1,clear
hospital_001_pattern_0015,1773153691.087916,hospital_001,Normal operational pattern for hospital during evening peak,167.99,248.88,163.81,7.48,hospital,normal_operation,1,clear
hospital_001_pattern_0016,1773188719.7121596,hospital_001,Normal operational pattern for hospital during night hours,196.52,239.63,182.33,11.3,hospital,normal_operation,1,hot
hospital_001_pattern_0017,1773233129.1687164,hospital_001,Reduced load during maintenance for hospital during evening peak,57.09,74.92,45.68,5.24,hospital,maintenance_mode,1,cloudy
hospital_001_pattern_0018,1773254025.1627212,hospital_001,Optimized high-efficiency operation for hospital during night hours,230.97,282.48,187.45,14.79,hospital,peak_efficiency,1,mild
hospital_002_pattern_0000,1772687205.732563,hospital_002,Normal operational pattern for hospital during morning hours,140.08,196.99,115.66,4.55,hospital,normal_operation,1,cloudy
hospital_002_pattern_0001,1772712326.578373,hospital_002,Normal operational pattern for hospital during evening peak,122.95,145.66,111.62,10.98,hospital,normal_operation,1,hot
hospital_002_pattern_0002,1772756187.153355,hospital_002,Normal operational pattern for hospital during night hours,134.46,171.47,121.48,11.96,hospital,normal_operation,1,clear
hospital_002_pattern_0003,1772803878.6412735,hospital_002,Normal operational pattern for hospital during evening peak,113.16,134.44,92.13,8.71,hospital,normal_operation,1,hot
hospital_002_pattern_0004,1772839906.5988412,hospital_002,Optimized high-efficiency operation for hospital during night hours,142.23,170.0,132.82,14.6,hospital,peak_efficiency,1,clear
hospital_002_pattern_0005,1772895920.6025443,hospital_002,Optimized high-efficiency operation for hospital during evening peak,157.53,222.72,151.46,11.71,hospital,peak_efficiency,1,clear
hospital_002_pattern_0006,1772941099.4821632,hospital_002,Normal operational pattern for hospital during morning hours,125.18,174.2,117.0,7.39,hospital,normal_operation,1,stormy
hospital_002_pattern_0007,1772970738.6116827,hospital_002,Normal operational pattern for hospital during evening peak,145.2,174.17,121.69,6.71,hospital,normal_operation,1,cloudy
hospital_002_pattern_0008,1773002026.23538,hospital_002,Normal operational pattern for hospital during night hours,148.33,189.45,144.22,6.0,hospital,normal_operation,1,hot
hospital_002_pattern_0009,1773026058.0740309,hospital_002,Optimized high-efficiency operation for hospital during morning hours,176.41,259.42,171.07,14.36,hospital,peak_efficiency,1,clear
hospital_002_pattern_0010,1773085674.1452746,hospital_002,Normal operational pattern for hospital during night hours,104.46,130.74,104.15,7.21,hospital,normal_operation,1,clear
hospital_002_pattern_0011,1773123303.3952847,hospital_002,Normal operational pattern for hospital during morning hours,150.06,224.81,136.72,7.38,hospital,normal_operation,1,hot
hospital_002_pattern_0012,1773153636.4508796,hospital_002,Normal operational pattern for hospital during evening peak,130.87,172.34,124.27,11.75,hospital,normal_operation,1,clear
hospital_002_pattern_0013,1773205095.9182808,hospital_002,Normal operational pattern for hospital during morning hours,109.47,162.49,89.33,10.82,hospital,normal_operation,1,clear
hospital_002_pattern_0014,1773253351.6935132,hospital_002,Emergency or surge demand pattern for hospital during night hours,205.49,299.21,174.51,2.18,hospital,emergency_surge,1,hot
hospital_002_pattern_0015,1773270789.5706534,hospital_002,Normal operational pattern for hospital during night hours,128.01,188.67,107.64,8.67,hospital,normal_operation,1,hot
hospital_003_pattern_0000,1772687205.732563,hospital_003,Emergency or surge demand pattern for hospital during morning hours,275.45,385.83,224.35,2.5,hospital,emergency_surge,1,cloudy
hospital_003_pattern_0001,1772710586.205954,hospital_003,Optimized high-efficiency operation for hospital during evening peak,176.53,212.91,174.17,6.73,hospital,peak_efficiency,1,mild
hospital_003_pattern_0002,1772747702.396969,hospital_003,Normal operational pattern for hospital during night hours,171.91,237.48,158.56,5.26,hospital,normal_operation,1,stormy
hospital_003_pattern_0003,1772776685.6073442,hospital_003,Normal operational pattern for hospital during morning hours,139.49,190.46,137.79,10.54,hospital,normal_operation,1,clear
hospital_003_pattern_0004,1772817872.6076827,hospital_003,Normal operational pattern for hospital during night hours,137.85,184.99,130.07,8.43,hospital,normal_operation,1,clear
hospital_003_pattern_0005,1772857996.8468223,hospital_003,Normal operational pattern for hospital during morning hours,176.25,253.53,144.26,7.91,hospital,normal_operation,1,cloudy
hospital_003_pattern_0006,1772891752.7349863,hospital_003,Normal operational pattern for hospital during evening peak,159.98,192.74,151.7,10.17,hospital,normal_operation,1,hot
hospital_003_pattern_0007,1772935549.8237884,hospital_003,Normal operational pattern for hospital during morning hours,174.9,255.63,159.01,4.6,hospital,normal_operation,1,mild
hospital_003_pattern_0008,1772961256.4674964,hospital_003,Normal operational pattern for hospital during afternoon period,140.03,204.39,134.32,5.02,hospital,normal_operation,1,mild
hospital_003_pattern_0009,1772992453.348872,hospital_003,Normal operational pattern for hospital during night hours,127.57,180.13,124.61,6.0,hospital,normal_operation,1,cloudy
hospital_003_pattern_0010,1773023660.1403894,hospital_003,Normal operational pattern for hospital during morning hours,173.78,259.02,167.2,11.44,hospital,normal_operation,1,mild
hospital_003_pattern_0011,1773066953.0218012,hospital_003,Reduced load during maintenance for hospital during evening peak,57.52,81.73,55.95,3.99,hospital,maintenance_mode,1,mild
hospital_003_pattern_0012,1773086489.9798498,hospital_003,Reduced load during maintenance for hospital during night hours,54.85,79.17,46.32,2.65,hospital,maintenance_mode,1,mild
hospital_003_pattern_0013,1773103624.666137,hospital_003,Normal operational pattern for hospital during morning hours,135.14,149.93,113.33,10.36,hospital,normal_operation,1,cloudy
hospital_003_pattern_0014,1773153621.463582,hospital_003,Optimized high-efficiency operation for hospital during evening peak,196.02,246.95,195.28,8.79,hospital,peak_efficiency,1,cloudy
hospital_003_pattern_0015,1773198904.351288,hospital_003,Normal operational pattern for hospital during morning hours,132.16,196.26,112.75,11.76,hospital,normal_operation,1,clear
hospital_003_pattern_0016,1773248527.3922434,hospital_003,Reduced load during maintenance for hospital during night hours,42.75,55.77,37.49,3.88,hospital,maintenance_mode,1,hot
hospital_003_pattern_0017,1773267512.3258073,hospital_003,Reduced load during maintenance for hospital during night hours,57.28,75.34,54.06,2.01,hospital,maintenance_mode,1,hot
hospital_003_pattern_0018,1773284998.7765727,hospital_003,Normal operational pattern for hospital during morning hours,161.63,199.14,139.45,4.56,hospital,normal_operation,1,mild
factory_001_pattern_0000,1772687205.732563,factory_001,Normal operational pattern for factory during morning hours,249.91,304.46,206.29,7.27,factory,normal_operation,2,cloudy
factory_001_pattern_0001,1772727016.0305827,factory_001,Emergency or surge demand pattern for factory during evening peak,550.17,671.42,500.43,5.51,factory,emergency_surge,2,clear
factory_001_pattern_0002,1772752281.6432383,factory_001,Normal operational pattern for factory during night hours,276.16,355.14,245.35,8.64,factory,normal_operation,2,clear
factory_001_pattern_0003,1772791147.3508792,factory_001,Optimized high-efficiency operation for factory during afternoon period,299.31,339.39,270.3,13.96,factory,peak_efficiency,2,hot
factory_001_pattern_0004,1772847427.6142619,factory_001,Reduced load during maintenance for factory during morning hours,78.5,93.4,65.92,6.51,factory,maintenance_mode,2,clear
factory_001_pattern_0005,1772875737.2140882,factory_001,Normal operational pattern for factory during afternoon period,215.63,272.94,199.66,10.8,factory,normal_operation,2,clear
factory_001_pattern_0006,1772925183.7232497,factory_001,Normal operational pattern for factory during night hours,276.3,304.54,262.54,5.95,factory,normal_operation,2,mild
