node_id,current_load,priority_tier,source_type,status,lat,lng,timestamp
hospital_001,229.02766068859214,1,Grid,active,19.076,72.8777,1773306376.1536756
hospital_002,178.31,1,Grid,active,28.6139,77.209,1773306376.1536756
hospital_003,258.0,1,Grid,active,28.6139,77.209,1773306376.1536756
factory_001,503.15,2,Solar,active,28.4595,77.0266,1773306376.1536756
factory_002,310.5878194670692,2,Grid,active,13.0358,80.2297,1773306376.1536756
factory_003,343.0420559378818,2,Grid,active,28.4595,77.0266,1773306376.1536756
residential_001,65.29555533603006,3,Grid,inactive,28.5355,77.391,1773306376.1536756
residential_002,129.27611484301954,3,Solar,active,12.9698,77.75,1773306376.1536756
residential_003,37.31133458992485,3,Grid,degraded,12.9698,77.75,1773306376.1536756
hospital_001,223.19,1,Grid,active,19.076,72.8777,1773306406.1536756
hospital_002,141.75,1,Grid,active,28.6139,77.209,1773306406.1536756
hospital_003,261.96,1,Grid,active,28.6139,77.209,1773306406.1536756
factory_001,703.38,2,Solar,active,28.4595,77.0266,1773306406.1536756
factory_002,301.28806177091747,2,Grid,active,13.0358,80.2297,1773306406.1536756
factory_003,423.77,2,Grid,active,28.4595,77.0266,1773306406.1536756
residential_001,55.71712790512581,3,Solar,active,28.5355,77.391,1773306406.1536756
residential_002,128.5525294058242,3,Solar,active,12.9698,77.75,1773306406.1536756
residential_003,55.63513249144443,3,Solar,active,12.9698,77.75,1773306406.1536756
hospital_001,232.33,1,Grid,active,19.076,72.8777,1773306436.1536756
hospital_002,213.6,1,Grid,active,28.6139,77.209,1773306436.1536756
hospital_003,190.77,1,Grid,active,28.6139,77.209,1773306436.1536756
factory_001,547.0252286480865,2,Grid,active,28.4595,77.0266,1773306436.1536756
factory_002,363.99,2,Solar,active,13.0358,80.2297,1773306436.1536756
factory_003,653.79,2,Solar,active,28.4595,77.0266,1773306436.1536756
residential_001,98.74,3,Grid,active,28.5355,77.391,1773306436.1536756
residential_002,127.78,3,Solar,active,12.9698,77.75,1773306436.1536756
residential_003,40.81,3,Grid,active,12.9698,77.75,1773306436.1536756
hospital_001,208.62,1,Grid,active,19.076,72.8777,1773306466.1536756
hospital_002,250.91,1,Grid,active,28.6139,77.209,1773306466.1536756
hospital_003,311.579113674816,1,Grid,degraded,28.6139,77.209,1773306466.1536756
factory_001,729.85,2,Solar,active,28.4595,77.0266,1773306466.1536756
factory_002,496.01,2,Solar,active,13.0358,80.2297,1773306466.1536756
factory_003,519.98,2,Solar,active,28.4595,77.0266,1773306466.1536756
residential_001,66.3,3,Solar,active,28.5355,77.391,1773306466.1536756
