node_id,current_load,priority_tier,source_type,status,lat,lng,timestamp
hospital_001,363.57,1,Grid,active,19.076,72.8777,1773331653.2147121
hospital_002,379.73,1,Grid,active,12.9716,77.5946,1773331653.2147121
hospital_003,275.9006318147808,1,Grid,active,12.9716,77.5946,1773331653.2147121
factory_001,261.47,2,Grid,degraded,19.0896,72.8656,1773331653.2147121
factory_002,278.13,2,Grid,active,22.6708,88.0977,1773331653.2147121
factory_003,300.81,2,Grid,degraded,28.4595,77.0266,1773331653.2147121
residential_001,173.78,3,Grid,active,22.5448,88.3426,1773331653.2147121
residential_002,278.44,3,Grid,active,12.9698,77.75,1773331653.2147121
residential_003,122.42402981585894,3,Grid,degraded,12.9698,77.75,1773331653.2147121
hospital_001,301.6,1,Grid,active,19.076,72.8777,1773331683.2147121
hospital_002,396.06,1,Grid,active,12.9716,77.5946,1773331683.2147121
hospital_003,202.24,1,Grid,active,12.9716,77.5946,1773331683.2147121
factory_001,199.57998752677113,2,Battery,active,19.0896,72.8656,1773331683.2147121
factory_002,198.05803479805385,2,Grid,active,22.6708,88.0977,1773331683.2147121
factory_003,366.52,2,Grid,active,28.4595,77.0266,1773331683.2147121
residential_001,185.45687586635202,3,Grid,active,22.5448,88.3426,1773331683.2147121
residential_002,253.03075981543518,3,Grid,active,12.9698,77.75,1773331683.2147121
residential_003,368.7149187689975,3,Grid,active,12.9698,77.75,1773331683.2147121
hospital_001,549.8614574465512,1,Grid,active,19.076,72.8777,1773331713.2147121
hospital_002,373.45,1,Grid,active,12.9716,77.5946,1773331713.2147121
hospital_003,277.29011526798337,1,Battery,active,12.9716,77.5946,1773331713.2147121
factory_001,191.9,2,Battery,active,19.0896,72.8656,1773331713.2147121
factory_002,285.57,2,Grid,active,22.6708,88.0977,1773331713.2147121
factory_003,242.71,2,Grid,active,28.4595,77.0266,1773331713.2147121
residential_001,116.06,3,Grid,active,22.5448,88.3426,1773331713.2147121
residential_002,177.16,3,Grid,active,12.9698,77.75,1773331713.2147121
residential_003,162.37492416778707,3,Grid,active,12.9698,77.75,1773331713.2147121
hospital_001,419.66,1,Grid,active,19.076,72.8777,1773331743.2147121
hospital_002,303.6745368012972,1,Grid,active,12.9716,77.5946,1773331743.2147121
hospital_003,224.06193833202363,1,Battery,active,12.9716,77.5946,1773331743.2147121
factory_001,239.6271192918767,2,Battery,active,19.0896,72.8656,1773331743.2147121
factory_002,217.69406013848953,2,Battery,active,22.6708,88.0977,1773331743.2147121
factory_003,517.85,2,Battery,active,28.4595,77.0266,1773331743.2147121
residential_001,91.48,3,Grid,active,22.5448,88.3426,1773331743.2147121
residential_002,167.07632498922695,3,Grid,active,12.9698,77.75,1773331743.2147121
residential_003,168.746593378098,3,Grid,active,12.9698,77.75,1773331743.2147121
hospital_001,212.76209741448983,1,Grid,active,19.076,72.8777,1773331773.2147121
hospital_002,304.08,1,Grid,degraded,12.9716,77.5946,1773331773.2147121
hospital_003,323.5116475042596,1,Grid,active,12.9716,77.5946,1773331773.2147121
factory_001,258.58,2,Grid,active,19.0896,72.8656,1773331773.2147121
factory_002,393.87,2,Grid,active,22.6708,88.0977,1773331773.2147121
factory_003,482.91,2,Grid,active,28.4595,77.0266,1773331773.2147121
residential_001,128.67,3,Grid,degraded,22.5448,88.3426,1773331773.2147121
residential_002,171.28,3,Grid,active,12.9698,77.75,1773331773.2147121
residential_003,137.64,3,Grid,active,12.9698,77.75,1773331773.2147121
hospital_001,385.9,1,Battery,active,19.076,72.8777,1773331803.2147121
hospital_002,330.23,1,Battery,active,12.9716,77.5946,1773331803.2147121
hospital_003,227.25,1,Grid,active,12.9716,77.5946,1773331803.2147121
factory_001,279.94,2,Battery,active,19.0896,72.8656,1773331803.2147121
factory_002,438.47,2,Battery,active,22.6708,88.0977,1773331803.2147121
factory_003,491.46,2,Grid,active,28.4595,77.0266,1773331803.2147121
residential_001,177.71,3,Grid,active,22.5448,88.3426,1773331803.2147121
residential_002,112.67,3,Grid,degraded,12.9698,77.75,1773331803.2147121
residential_003,338.03538645178384,3,Grid,active,12.9698,77.75,1773331803.2147121
hospital_001,278.89,1,Battery,active,19.076,72.8777,1773331833.2147121
hospital_002,420.4,1,Battery,active,12.9716,77.5946,1773331833.2147121
hospital_003,281.03,1,Grid,active,12.9716,77.5946,1773331833.2147121
factory_001,225.09,2,Battery,active,19.0896,72.8656,1773331833.2147121
factory_002,207.01,2,Battery,active,22.6708,88.0977,1773331833.2147121
factory_003,372.63,2,Grid,active,28.4595,77.0266,1773331833.2147121
residential_001,96.15,3,Grid,active,22.5448,88.3426,1773331833.2147121
residential_002,126.3,3,Grid,active,12.9698,77.75,1773331833.2147121
residential_003,344.65,3,Grid,active,12.9698,77.75,1773331833.2147121
hospital_001,255.54,1,Grid,active,19.076,72.8777,1773331863.2147121
hospital_002,237.8,1,Grid,active,12.9716,77.5946,1773331863.2147121
hospital_003,266.36,1,Grid,active,12.9716,77.5946,1773331863.2147121
factory_001,206.2194603608428,2,Battery,active,19.0896,72.8656,1773331863.2147121
factory_002,433.93,2,Grid,active,22.6708,88.0977,1773331863.2147121
factory_003,501.03,2,Battery,active,28.4595,77.0266,1773331863.2147121
residential_001,164.73314701889032,3,Grid,active,22.5448,88.3426,1773331863.2147121
residential_002,197.8,3,Grid,active,12.9698,77.75,1773331863.2147121
residential_003,220.38,3,Grid,active,12.9698,77.75,1773331863.2147121
hospital_001,420.0,1,Grid,active,19.076,72.8777,1773331893.2147121
hospital_002,366.01857178637954,1,Grid,active,12.9716,77.5946,1773331893.2147121
hospital_003,227.24,1,Grid,active,12.9716,77.5946,1773331893.2147121
factory_001,335.87,2,Grid,active,19.0896,72.8656,1773331893.2147121
factory_002,312.8521895038484,2,Grid,active,22.6708,88.0977,1773331893.2147121
factory_003,482.1,2,Grid,active,28.4595,77.0266,1773331893.2147121
residential_001,203.19,3,Grid,active,22.5448,88.3426,1773331893.2147121
residential_002,245.67,3,Grid,active,12.9698,77.75,1773331893.2147121
residential_003,305.35,3,Grid,active,12.9698,77.75,1773331893.2147121
hospital_001,434.42,1,Grid,degraded,19.076,72.8777,1773331923.2147121
hospital_002,369.05062442930466,1,Grid,active,12.9716,77.5946,1773331923.2147121
hospital_003,344.82,1,Grid,active,12.9716,77.5946,1773331923.2147121
factory_001,250.95646618855537,2,Grid,active,19.0896,72.8656,1773331923.2147121
factory_002,310.83,2,Grid,active,22.6708,88.0977,1773331923.2147121
factory_003,488.01,2,Battery,active,28.4595,77.0266,1773331923.2147121
residential_001,71.23929253518943,3,Grid,active,22.5448,88.3426,1773331923.2147121
residential_002,166.0,3,Grid,active,12.9698,77.75,1773331923.2147121
residential_003,155.5193060362978,3,Grid,active,12.9698,77.75,1773331923.2147121
hospital_001,380.37552260332825,1,Battery,active,19.076,72.8777,1773331953.2147121
hospital_002,267.4,1,Grid,active,12.9716,77.5946,1773331953.2147121
hospital_003,327.58176155897473,1,Grid,active,12.9716,77.5946,1773331953.2147121
factory_001,144.98712472609296,2,Grid,active,19.0896,72.8656,1773331953.2147121
factory_002,324.64,2,Grid,active,22.6708,88.0977,1773331953.2147121
factory_003,452.5410071536276,2,Grid,active,28.4595,77.0266,1773331953.2147121
residential_001,167.12311535839393,3,Grid,active,22.5448,88.3426,1773331953.2147121
residential_002,141.06,3,Grid,active,12.9698,77.75,1773331953.2147121
residential_003,240.88779113138128,3,Grid,active,12.9698,77.75,1773331953.2147121
hospital_001,288.69,1,Grid,active,19.076,72.8777,1773331983.2147121
hospital_002,456.53919652191615,1,Grid,active,12.9716,77.5946,1773331983.2147121
hospital_003,231.74,1,Battery,active,12.9716,77.5946,1773331983.2147121
factory_001,178.76,2,Grid,active,19.0896,72.8656,1773331983.2147121
factory_002,329.9,2,Grid,active,22.6708,88.0977,1773331983.2147121
factory_003,380.4829472966684,2,Grid,inactive,28.4595,77.0266,1773331983.2147121
residential_001,86.39,3,Grid,active,22.5448,88.3426,1773331983.2147121
residential_002,86.45130945099628,3,Grid,active,12.9698,77.75,1773331983.2147121
residential_003,281.03,3,Grid,active,12.9698,77.75,1773331983.2147121
