pattern_id,timestamp,node_id,context,current_load,peak_load,avg_load,duration_hours,node_type,pattern_type,priority_tier,weather_condition
hospital_001_pattern_0000,1772641749.5102696,hospital_001,Normal operational pattern for hospital during evening peak,152.2,212.26,142.36,6.2,hospital,normal_operation,1,mild
hospital_001_pattern_0001,1772666965.7839298,hospital_001,Normal operational pattern for hospital during night hours,151.89,197.78,122.32,4.24,hospital,normal_operation,1,clear
hospital_001_pattern_0002,1772692212.4877656,hospital_001,Normal operational pattern for hospital during afternoon period,177.27,252.39,142.04,5.76,hospital,normal_operation,1,mild
hospital_001_pattern_0003,1772723557.7340572,hospital_001,Normal operational pattern for hospital during evening peak,202.46,249.96,165.72,5.24,hospital,normal_operation,1,clear
hospital_001_pattern_0004,1772754913.9726677,hospital_001,Emergency or surge demand pattern for hospital during night hours,381.63,501.65,379.58,5.04,hospital,emergency_surge,1,cloudy
hospital_001_pattern_0005,1772781797.9935408,hospital_001,Reduced load during maintenance for hospital during afternoon period,61.36,81.67,57.74,5.71,hospital,maintenance_mode,1,clear
hospital_001_pattern_0006,1772807029.538465,hospital_001,Normal operational pattern for hospital during evening peak,152.86,174.32,130.79,4.64,hospital,normal_operation,1,hot
hospital_001_pattern_0007,1772830124.4328556,hospital_001,Normal operational pattern for hospital during night hours,155.2,228.87,144.28,5.68,hospital,normal_operation,1,hot
hospital_001_pattern_0008,1772854514.582309,hospital_001,Reduced load during maintenance for hospital during morning hours,36.6,54.75,33.96,2.98,hospital,maintenance_mode,1,hot
hospital_001_pattern_0009,1772875670.2157366,hospital_001,Reduced load during maintenance for hospital during afternoon period,28.88,32.13,24.92,6.66,hospital,maintenance_mode,1,clear
hospital_001_pattern_0010,1772904090.1976552,hospital_001,Optimized high-efficiency operation for hospital during night hours,204.43,278.47,179.72,14.76,hospital,peak_efficiency,1,mild
hospital_001_pattern_0011,1772964820.965551,hospital_001,Normal operational pattern for hospital during afternoon period,175.36,211.32,160.79,5.97,hospital,normal_operation,1,mild
hospital_001_pattern_0012,1772993156.2841372,hospital_001,Normal operational pattern for hospital during night hours,171.81,195.23,139.06,11.98,hospital,normal_operation,1,clear
hospital_001_pattern_0013,1773045991.1873295,hospital_001,Reduced load during maintenance for hospital during afternoon period,20.38,25.53,20.36,4.53,hospital,maintenance_mode,1,cloudy
hospital_001_pattern_0014,1773076345.4301705,hospital_001,Optimized high-efficiency operation for hospital during night hours,225.28,309.23,204.41,6.11,hospital,peak_efficiency,1,clear
hospital_001_pattern_0015,1773108234.8656225,hospital_001,Normal operational pattern for hospital during morning hours,167.99,248.88,163.81,7.48,hospital,normal_operation,1,clear
hospital_001_pattern_0016,1773143263.4898663,hospital_001,Normal operational pattern for hospital during evening peak,196.52,239.63,182.33,11.3,hospital,normal_operation,1,hot
hospital_001_pattern_0017,1773187672.946423,hospital_001,Reduced load during maintenance for hospital during night hours,57.09,74.92,45.68,5.24,hospital,maintenance_mode,1,cloudy
hospital_001_pattern_0018,1773208568.9404278,hospital_001,Optimized high-efficiency operation for hospital during morning hours,230.97,282.48,187.45,14.79,hospital,peak_efficiency,1,mild
hospital_002_pattern_0000,1772641749.5102696,hospital_002,Normal operational pattern for hospital during evening peak,140.08,196.99,115.66,4.55,hospital,normal_operation,1,cloudy
hospital_002_pattern_0001,1772666870.3560796,hospital_002,Normal operational pattern for hospital during night hours,122.95,145.66,111.62,10.98,hospital,normal_operation,1,hot
hospital_002_pattern_0002,1772710730.9310615,hospital_002,Normal operational pattern for hospital during evening peak,134.46,171.47,121.48,11.96,hospital,normal_operation,1,clear
hospital_002_pattern_0003,1772758422.4189801,hospital_002,Normal operational pattern for hospital during morning hours,113.16,134.44,92.13,8.71,hospital,normal_operation,1,hot
hospital_002_pattern_0004,1772794450.3765478,hospital_002,Optimized high-efficiency operation for hospital during afternoon period,142.23,170.0,132.82,14.6,hospital,peak_efficiency,1,clear
hospital_002_pattern_0005,1772850464.380251,hospital_002,Optimized high-efficiency operation for hospital during morning hours,157.53,222.72,151.46,11.71,hospital,peak_efficiency,1,clear
hospital_002_pattern_0006,1772895643.2598698,hospital_002,Normal operational pattern for hospital during evening peak,125.18,174.2,117.0,7.39,hospital,normal_operation,1,stormy
hospital_002_pattern_0007,1772925282.3893893,hospital_002,Normal operational pattern for hospital during night hours,145.2,174.17,121.69,6.71,hospital,normal_operation,1,cloudy
hospital_002_pattern_0008,1772956570.0130866,hospital_002,Normal operational pattern for hospital during afternoon period,148.33,189.45,144.22,6.0,hospital,normal_operation,1,hot
hospital_002_pattern_0009,1772980601.8517375,hospital_002,Optimized high-efficiency operation for hospital during evening peak,176.41,259.42,171.07,14.36,hospital,peak_efficiency,1,clear
hospital_002_pattern_0010,1773040217.9229813,hospital_002,Normal operational pattern for hospital during afternoon period,104.46,130.74,104.15,7.21,hospital,normal_operation,1,clear
hospital_002_pattern_0011,1773077847.1729913,hospital_002,Normal operational pattern for hospital during night hours,150.06,224.81,136.72,7.38,hospital,normal_operation,1,hot
hospital_002_pattern_0012,1773108180.2285862,hospital_002,Normal operational pattern for hospital during morning hours,130.87,172.34,124.27,11.75,hospital,normal_operation,1,clear
hospital_002_pattern_0013,1773159639.6959875,hospital_002,Normal operational pattern for hospital during evening peak,109.47,162.49,89.33,10.82,hospital,normal_operation,1,clear
hospital_002_pattern_0014,1773207895.4712198,hospital_002,Emergency or surge demand pattern for hospital during morning hours,205.49,299.21,174.51,2.18,hospital,emergency_surge,1,hot
hospital_002_pattern_0015,1773225333.34836,hospital_002,Normal operational pattern for hospital during afternoon period,128.01,188.67,107.64,8.67,hospital,normal_operation,1,hot
hospital_003_pattern_0000,1772641749.5102696,hospital_003,Emergency or surge demand pattern for hospital during evening peak,275.45,385.83,224.35,2.5,hospital,emergency_surge,1,cloudy
hospital_003_pattern_0001,1772665129.9836607,hospital_003,Optimized high-efficiency operation for hospital during night hours,176.53,212.91,174.17,6.73,hospital,peak_efficiency,1,mild
hospital_003_pattern_0002,1772702246.1746757,hospital_003,Normal operational pattern for hospital during afternoon period,171.91,237.48,158.56,5.26,hospital,normal_operation,1,stormy
hospital_003_pattern_0003,1772731229.3850508,hospital_003,Normal operational pattern for hospital during night hours,139.49,190.46,137.79,10.54,hospital,normal_operation,1,clear
hospital_003_pattern_0004,1772772416.3853893,hospital_003,Normal operational pattern for hospital during morning hours,137.85,184.99,130.07,8.43,hospital,normal_operation,1,clear
hospital_003_pattern_0005,1772812540.624529,hospital_003,Normal operational pattern for hospital during evening peak,176.25,253.53,144.26,7.91,hospital,normal_operation,1,cloudy
hospital_003_pattern_0006,1772846296.512693,hospital_003,Normal operational pattern for hospital during morning hours,159.98,192.74,151.7,10.17,hospital,normal_operation,1,hot
hospital_003_pattern_0007,1772890093.601495,hospital_003,Normal operational pattern for hospital during evening peak,174.9,255.63,159.01,4.6,hospital,normal_operation,1,mild
hospital_003_pattern_0008,1772915800.245203,hospital_003,Normal operational pattern for hospital during night hours,140.03,204.39,134.32,5.02,hospital,normal_operation,1,mild
hospital_003_pattern_0009,1772946997.1265786,hospital_003,Normal operational pattern for hospital during morning hours,127.57,180.13,124.61,6.0,hospital,normal_operation,1,cloudy
hospital_003_pattern_0010,1772978203.918096,hospital_003,Normal operational pattern for hospital during evening peak,173.78,259.02,167.2,11.44,hospital,normal_operation,1,mild
hospital_003_pattern_0011,1773021496.7995079,hospital_003,Reduced load during maintenance for hospital during morning hours,57.52,81.73,55.95,3.99,hospital,maintenance_mode,1,mild
hospital_003_pattern_0012,1773041033.7575564,hospital_003,Reduced load during maintenance for hospital during afternoon period,54.85,79.17,46.32,2.65,hospital,maintenance_mode,1,mild
hospital_003_pattern_0013,1773058168.4438436,hospital_003,Normal operational pattern for hospital during evening peak,135.14,149.93,113.33,10.36,hospital,normal_operation,1,cloudy
hospital_003_pattern_0014,1773108165.2412887,hospital_003,Optimized high-efficiency operation for hospital during morning hours,196.02,246.95,195.28,8.79,hospital,peak_efficiency,1,cloudy
hospital_003_pattern_0015,1773153448.1289947,hospital_003,Normal operational pattern for hospital during evening peak,132.16,196.26,112.75,11.76,hospital,normal_operation,1,clear
hospital_003_pattern_0016,1773203071.16995,hospital_003,Reduced load during maintenance for hospital during morning hours,42.75,55.77,37.49,3.88,hospital,maintenance_mode,1,hot
hospital_003_pattern_0017,1773222056.103514,hospital_003,Reduced load during maintenance for hospital during afternoon period,57.28,75.34,54.06,2.01,hospital,maintenance_mode,1,hot
hospital_003_pattern_0018,1773239542.5542793,hospital_003,Normal operational pattern for hospital during evening peak,161.63,199.14,139.45,4.56,hospital,normal_operation,1,mild
factory_001_pattern_0000,1772641749.5102696,factory_001,Normal operational pattern for factory during evening peak,249.91,304.46,206.29,7.27,factory,normal_operation,2,cloudy
factory_001_pattern_0001,1772681559.8082893,factory_001,Emergency or surge demand pattern for factory during morning hours,550.17,671.42,500.43,5.51,factory,emergency_surge,2,clear
factory_001_pattern_0002,1772706825.420945,factory_001,Normal operational pattern for factory during afternoon period,276.16,355.14,245.35,8.64,factory,normal_operation,2,clear
factory_001_pattern_0003,1772745691.1285858,factory_001,Optimized high-efficiency operation for factory during night hours,299.31,339.39,270.3,13.96,factory,peak_efficiency,2,hot
factory_001_pattern_0004,1772801971.3919685,factory_001,Reduced load during maintenance for factory during evening peak,78.5,93.4,65.92,6.51,factory,maintenance_mode,2,clear
factory_001_pattern_0005,1772830280.9917948,factory_001,Normal operational pattern for factory during night hours,215.63,272.94,199.66,10.8,factory,normal_operation,2,clear
factory_001_pattern_0006,1772879727.5009563,factory_001,Normal operational pattern for factory during afternoon period,276.3,304.54,262.54,5.95,factory,normal_operation,2,mild
factory_001_pattern_0007,1772904297.252753,factory_001,Normal operational pattern for factory during night hours,307.7,402.23,249.25,5.41,factory,normal_operation,2,clear
factory_001_pattern_0008,1772936251.827163,factory_001,Normal operational pattern for factory during morning hours,277.5,414.9,255.04,10.41,factory,normal_operation,2,stormy
factory_001_pattern_0009,1772986764.5919578,factory_001,Emergency or surge demand pattern for factory during evening peak,521.37,746.72,474.23,4.6,factory,emergency_surge,2,mild
factory_001_pattern_0010,1773014481.581832,factory_001,Normal operational pattern for factory during night hours,233.77,316.77,222.82,6.07,factory,normal_operation,2,cloudy
factory_001_pattern_0011,1773046043.3287337,factory_001,Normal operational pattern for factory during afternoon period,237.77,287.39,205.42,4.62,factory,normal_operation,2,cloudy
factory_001_pattern_0012,1773066218.3625,factory_001,Normal operational pattern for factory during evening peak,281.54,316.92,248.18,9.55,factory,normal_operation,2,cloudy
factory_001_pattern_0013,1773107642.872444,factory_001,Normal operational pattern for factory during morning hours,302.18,402.99,283.78,7.36,factory,normal_operation,2,mild
factory_001_pattern_0014,1773145589.497415,factory_001,Normal operational pattern for factory during evening peak,244.64,342.84,237.47,4.05,factory,normal_operation,2,stormy
factory_001_pattern_0015,1773167238.9727833,factory_001,Reduced load during maintenance for factory during night hours,73.07,86.83,61.66,5.28,factory,maintenance_mode,2,cloudy
factory_001_pattern_0016,1773188401.143405,factory_001,Normal operational pattern for factory during night hours,250.11,291.63,223.47,9.43,factory,normal_operation,2,clear
factory_001_pattern_0017,1773232000.867402,factory_001,Normal operational pattern for factory during evening peak,266.76,296.33,247.7,7.15,factory,normal_operation,2,clear
factory_002_pattern_0000,1772641749.5102696,factory_002,Normal operational pattern for factory during evening peak,195.51,274.59,171.23,5.69,factory,normal_operation,2,mild
factory_002_pattern_0001,1772674527.5724478,factory_002,Normal operational pattern for factory during morning hours,169.67,223.25,169.67,4.66,factory,normal_operation,2,cloudy
factory_002_pattern_0002,1772701278.2875261,factory_002,Reduced load during maintenance for factory during afternoon period,68.54,101.42,57.56,5.91,factory,maintenance_mode,2,clear
factory_002_pattern_0003,1772726276.2056363,factory_002,Normal operational pattern for factory during evening peak,215.43,255.76,202.48,9.36,factory,normal_operation,2,mild
factory_002_pattern_0004,1772763870.7635677,factory_002,Emergency or surge demand pattern for factory during morning hours,339.14,484.2,336.75,4.74,factory,emergency_surge,2,clear
factory_002_pattern_0005,1772783056.9734643,factory_002,Normal operational pattern for factory during afternoon period,248.55,312.85,234.39,9.42,factory,normal_operation,2,clear
factory_002_pattern_0006,1772827466.3169663,factory_002,Emergency or surge demand pattern for factory during night hours,477.35,687.44,439.2,1.51,factory,emergency_surge,2,clear
factory_002_pattern_0007,1772847096.9792936,factory_002,Reduced load during maintenance for factory during morning hours,48.0,59.92,43.26,4.08,factory,maintenance_mode,2,cloudy
factory_002_pattern_0008,1772874301.2335246,factory_002,Reduced load during maintenance for factory during afternoon period,81.55,110.44,78.76,2.63,factory,maintenance_mode,2,hot
factory_002_pattern_0009,1772891068.0111578,factory_002,Reduced load during maintenance for factory during evening peak,38.03,54.12,34.51,7.79,factory,maintenance_mode,2,cloudy
factory_002_pattern_0010,1772926410.4823644,factory_002,Reduced load during maintenance for factory during night hours,74.68,106.96,61.04,3.61,factory,maintenance_mode,2,mild
factory_002_pattern_0011,1772944280.5053203,factory_002,Normal operational pattern for factory during morning hours,199.89,222.17,193.93,8.88,factory,normal_operation,2,clear
factory_002_pattern_0012,1772980730.7685144,factory_002,Reduced load during maintenance for factory during evening peak,76.48,105.58,65.41,4.04,factory,maintenance_mode,2,clear
factory_002_pattern_0013,1773009027.6760068,factory_002,Normal operational pattern for factory during night hours,209.1,293.42,196.16,9.76,factory,normal_operation,2,hot
factory_002_pattern_0014,1773052150.175155,factory_002,Reduced load during maintenance for factory during afternoon period,34.97,48.14,30.12,2.56,factory,maintenance_mode,2,hot
factory_002_pattern_0015,1773069123.2096853,factory_002,Normal operational pattern for factory during evening peak,230.72,284.32,217.01,7.4,factory,normal_operation,2,clear
factory_002_pattern_0016,1773100745.4058113,factory_002,Normal operational pattern for factory during night hours,178.09,234.07,169.62,5.54,factory,normal_operation,2,clear
factory_002_pattern_0017,1773125218.279925,factory_002,Normal operational pattern for factory during afternoon period,250.1,327.6,214.24,9.8,factory,normal_operation,2,clear
factory_002_pattern_0018,1773164732.2094407,factory_002,Normal operational pattern for factory during night hours,169.23,222.32,144.67,5.44,factory,normal_operation,2,stormy
factory_002_pattern_0019,1773193072.4488804,factory_002,Emergency or surge demand pattern for factory during morning hours,497.51,644.95,484.85,1.63,factory,emergency_surge,2,hot
factory_002_pattern_0020,1773206659.88126,factory_002,Normal operational pattern for factory during morning hours,172.36,254.48,154.36,5.47,factory,normal_operation,2,mild
factory_002_pattern_0021,1773233218.4687395,factory_002,Normal operational pattern for factory during evening peak,172.55,200.1,157.46,9.04,factory,normal_operation,2,cloudy
factory_003_pattern_0000,1772641749.5102696,factory_003,Reduced load during maintenance for factory during evening peak,75.43,89.79,68.23,5.64,factory,maintenance_mode,2,cloudy
factory_003_pattern_0001,1772669424.256187,factory_003,Optimized high-efficiency operation for factory during night hours,266.55,359.42,245.74,15.9,factory,peak_efficiency,2,hot
factory_003_pattern_0002,1772740405.0180879,factory_003,Normal operational pattern for factory during night hours,238.04,276.8,198.71,5.69,factory,normal_operation,2,clear
factory_003_pattern_0003,1772762716.2578175,factory_003,Normal operational pattern for factory during morning hours,205.01,244.5,193.0,8.75,factory,normal_operation,2,hot
factory_003_pattern_0004,1772801738.8149498,factory_003,Emergency or surge demand pattern for factory during evening peak,511.76,690.89,477.09,5.62,factory,emergency_surge,2,mild
factory_003_pattern_0005,1772829125.9647233,factory_003,Normal operational pattern for factory during night hours,260.23,372.3,211.9,9.18,factory,normal_operation,2,clear
factory_003_pattern_0006,1772867853.7535963,factory_003,Reduced load during maintenance for factory during afternoon period,41.74,47.99,39.14,5.42,factory,maintenance_mode,2,hot
factory_003_pattern_0007,1772901026.346495,factory_003,Normal operational pattern for factory during night hours,186.15,207.73,165.0,7.95,factory,normal_operation,2,cloudy
factory_003_pattern_0008,1772934602.2843823,factory_003,Normal operational pattern for factory during morning hours,253.75,337.51,251.25,11.7,factory,normal_operation,2,stormy
factory_003_pattern_0009,1772986976.0720878,factory_003,Normal operational pattern for factory during evening peak,246.62,317.7,229.43,4.32,factory,normal_operation,2,mild
factory_003_pattern_0010,1773006621.5075295,factory_003,Normal operational pattern for factory during night hours,222.95,253.38,193.88,9.08,factory,normal_operation,2,cloudy
factory_003_pattern_0011,1773049546.9896698,factory_003,Optimized high-efficiency operation for factory during afternoon period,292.61,355.6,289.4,9.3,factory,peak_efficiency,2,mild
factory_003_pattern_0012,1773091751.1388316,factory_003,Normal operational pattern for factory during night hours,207.88,309.34,183.11,6.52,factory,normal_operation,2,cloudy
