node_id,current_load,priority_tier,source_type,status,lat,lng,timestamp
hospital_001,249.48,1,Battery,active,28.6139,77.209,1773246549.497265
hospital_002,192.7,1,Battery,active,13.0827,80.2707,1773246549.497265
hospital_003,273.79,1,Battery,active,19.076,72.8777,1773246549.497265
factory_001,180.83,2,Battery,active,12.8406,77.6602,1773246549.497265
factory_002,261.45,2,Grid,active,22.6708,88.0977,1773246549.497265
factory_003,179.7,2,Grid,active,28.4595,77.0266,1773246549.497265
residential_001,271.81,3,Grid,active,12.9698,77.75,1773246549.497265
residential_002,82.14,3,Grid,active,12.9698,77.75,1773246549.497265
residential_003,183.99,3,Grid,active,12.9698,77.75,1773246549.497265
hospital_001,192.47,1,Battery,active,28.6139,77.209,1773246609.497265
hospital_002,237.82,1,Grid,active,13.0827,80.2707,1773246609.497265
hospital_003,376.42,1,Battery,active,19.076,72.8777,1773246609.497265
factory_001,297.18,2,Battery,active,12.8406,77.6602,1773246609.497265
factory_002,323.33,2,Battery,active,22.6708,88.0977,1773246609.497265
factory_003,324.13,2,Grid,active,28.4595,77.0266,1773246609.497265
residential_001,143.86,3,Grid,active,12.9698,77.75,1773246609.497265
residential_002,133.61,3,Grid,active,12.9698,77.75,1773246609.497265
residential_003,142.5,3,Grid,active,12.9698,77.75,1773246609.497265
hospital_001,215.5,1,Grid,active,28.6139,77.209,1773246669.497265
hospital_002,220.04,1,Grid,active,13.0827,80.2707,1773246669.497265
hospital_003,284.23,1,Battery,active,19.076,72.8777,1773246669.497265
factory_001,319.88,2,Grid,active,12.8406,77.6602,1773246669.497265
factory_002,169.68,2,Grid,active,22.6708,88.0977,1773246669.497265
factory_003,222.05,2,Battery,active,28.4595,77.0266,1773246669.497265
residential_001,285.11,3,Grid,active,12.9698,77.75,1773246669.497265
residential_002,88.68,3,Grid,active,12.9698,77.75,1773246669.497265
residential_003,104.38,3,Grid,active,12.9698,77.75,1773246669.497265
hospital_001,253.67,1,Grid,active,28.6139,77.209,1773246729.497265
hospital_002,306.91,1,Grid,active,13.0827,80.2707,1773246729.497265
hospital_003,464.12,1,Grid,active,19.076,72.8777,1773246729.497265
factory_001,249.65,2,Grid,active,12.8406,77.6602,1773246729.497265
factory_002,256.68,2,Battery,active,22.6708,88.0977,1773246729.497265
factory_003,275.48,2,Battery,active,28.4595,77.0266,1773246729.497265
residential_001,86.37,3,Grid,degraded,12.9698,77.75,1773246729.497265
residential_002,86.73,3,Grid,active,12.9698,77.75,1773246729.497265
residential_003,210.59,3,Grid,active,12.9698,77.75,1773246729.497265
hospital_001,195.0,1,Grid,active,28.6139,77.209,1773246789.497265
hospital_002,289.74,1,Grid,active,13.0827,80.2707,1773246789.497265
hospital_003,332.23,1,Battery,active,19.076,72.8777,1773246789.497265
factory_001,251.53,2,Battery,active,12.8406,77.6602,1773246789.497265
factory_002,318.96,2,Grid,active,22.6708,88.0977,1773246789.497265
factory_003,212.22,2,Grid,active,28.4595,77.0266,1773246789.497265
residential_001,167.13,3,Grid,active,12.9698,77.75,1773246789.497265
residential_002,153.09,3,Grid,active,12.9698,77.75,1773246789.497265
residential_003,102.77,3,Grid,active,12.9698,77.75,1773246789.497265
hospital_001,244.3,1,Grid,active,28.6139,77.209,1773246849.497265
hospital_002,210.09,1,Battery,active,13.0827,80.2707,1773246849.497265
hospital_003,264.08,1,Grid,active,19.076,72.8777,1773246849.497265
factory_001,289.38,2,Grid,active,12.8406,77.6602,1773246849.497265
factory_002,173.3,2,Grid,active,22.6708,88.0977,1773246849.497265
factory_003,387.63,2,Grid,active,28.4595,77.0266,1773246849.497265
residential_001,154.64,3,Grid,active,12.9698,77.75,1773246849.497265
residential_002,121.2,3,Grid,active,12.9698,77.75,1773246849.497265
residential_003,140.42,3,Grid,active,12.9698,77.75,1773246849.497265
hospital_001,187.53,1,Grid,active,28.6139,77.209,1773246909.497265
hospital_002,233.98,1,Grid,active,13.0827,80.2707,1773246909.497265
hospital_003,238.5,1,Grid,active,19.076,72.8777,1773246909.497265
factory_001,347.06,2,Grid,active,12.8406,77.6602,1773246909.497265
factory_002,266.74,2,Battery,active,22.6708,88.0977,1773246909.497265
factory_003,254.95,2,Grid,active,28.4595,77.0266,1773246909.497265
residential_001,103.21,3,Grid,active,12.9698,77.75,1773246909.497265
residential_002,131.12,3,Grid,active,12.9698,77.75,1773246909.497265
residential_003,154.06,3,Grid,active,12.9698,77.75,1773246909.497265
hospital_001,148.26,1,Battery,active,28.6139,77.209,1773246969.497265
hospital_002,271.15,1,Grid,active,13.0827,80.2707,1773246969.497265
hospital_003,218.39,1,Grid,active,19.076,72.8777,1773246969.497265
factory_001,162.7,2,Grid,active,12.8406,77.6602,1773246969.497265
factory_002,171.02,2,Grid,active,22.6708,88.0977,1773246969.497265
factory_003,266.48,2,Grid,active,28.4595,77.0266,1773246969.497265
residential_001,275.71,3,Grid,active,12.9698,77.75,1773246969.497265
residential_002,78.34,3,Grid,active,12.9698,77.75,1773246969.497265
residential_003,190.59,3,Grid,active,12.9698,77.75,1773246969.497265
hospital_001,204.55,1,Grid,active,28.6139,77.209,1773247029.497265
hospital_002,211.1,1,Grid,active,13.0827,80.2707,1773247029.497265
hospital_003,414.03,1,Grid,active,19.076,72.8777,1773247029.497265
factory_001,210.01,2,Grid,active,12.8406,77.6602,1773247029.497265
factory_002,241.72,2,Grid,active,22.6708,88.0977,1773247029.497265
factory_003,175.55,2,Battery,active,28.4595,77.0266,1773247029.497265
residential_001,102.26,3,Grid,active,12.9698,77.75,1773247029.497265
residential_002,112.23,3,Grid,active,12.9698,77.75,1773247029.497265
residential_003,100.56,3,Grid,degraded,12.9698,77.75,1773247029.497265
hospital_001,257.66,1,Grid,active,28.6139,77.209,1773247089.497265
hospital_002,231.62,1,Grid,active,13.0827,80.2707,1773247089.497265
hospital_003,266.43,1,Grid,active,19.076,72.8777,1773247089.497265
factory_001,231.76,2,Grid,active,12.8406,77.6602,1773247089.497265
factory_002,262.65,2,Grid,active,22.6708,88.0977,1773247089.497265
factory_003,288.11,2,Grid,active,28.4595,77.0266,1773247089.497265
residential_001,188.78,3,Grid,active,12.9698,77.75,1773247089.497265
residential_002,128.25,3,Grid,active,12.9698,77.75,1773247089.497265
residential_003,209.57,3,Grid,active,12.9698,77.75,1773247089.497265
hospital_001,234.65,1,Grid,active,28.6139,77.209,1773247149.497265
hospital_002,267.09,1,Battery,active,13.0827,80.2707,1773247149.497265
hospital_003,421.7,1,Grid,active,19.076,72.8777,1773247149.497265
factory_001,310.63,2,Grid,active,12.8406,77.6602,1773247149.497265
factory_002,264.35,2,Grid,active,22.6708,88.0977,1773247149.497265
factory_003,384.65,2,Grid,active,28.4595,77.0266,1773247149.497265
residential_001,180.27,3,Grid,active,12.9698,77.75,1773247149.497265
residential_002,92.42,3,Grid,active,12.9698,77.75,1773247149.497265
residential_003,172.35,3,Grid,active,12.9698,77.75,1773247149.497265
hospital_001,246.16,1,Grid,active,28.6139,77.209,1773247209.497265
hospital_002,248.67,1,Grid,active,13.0827,80.2707,1773247209.497265
hospital_003,326.98,1,Grid,active,19.076,72.8777,1773247209.497265
factory_001,213.93,2,Grid,active,12.8406,77.6602,1773247209.497265
factory_002,163.26,2,Battery,active,22.6708,88.0977,1773247209.497265
factory_003,256.6,2,Grid,active,28.4595,77.0266,1773247209.497265
residential_001,146.35,3,Grid,active,12.9698,77.75,1773247209.497265
residential_002,150.64,3,Grid,active,12.9698,77.75,1773247209.497265
residential_003,126.79,3,Grid,active,12.9698,77.75,1773247209.497265
hospital_001,263.55,1,Grid,active,28.6139,77.209,1773247269.497265
hospital_002,233.24,1,Grid,active,13.0827,80.2707,1773247269.497265
hospital_003,407.17,1,Grid,active,19.076,72.8777,1773247269.497265
factory_001,293.34,2,Grid,active,12.8406,77.6602,1773247269.497265
