node_id,current_load,priority_tier,source_type,status,lat,lng,timestamp
hospital_001,351.13,1,Grid,active,28.6139,77.209,1773249851.1194625
hospital_002,417.06,1,Battery,active,12.9716,77.5946,1773249851.1194625
hospital_003,278.81,1,Grid,active,22.5726,88.3639,1773249851.1194625
factory_001,439.4011490656461,2,Battery,active,22.6708,88.0977,1773249851.1194625
factory_002,342.44144653436337,2,Grid,active,22.6708,88.0977,1773249851.1194625
factory_003,281.24,2,Battery,active,22.6708,88.0977,1773249851.1194625
residential_001,188.91,3,Grid,active,28.5355,77.391,1773249851.1194625
residential_002,109.69,3,Grid,active,12.9698,77.75,1773249851.1194625
residential_003,135.03,3,Grid,active,19.1136,72.8697,1773249851.1194625
hospital_001,549.7625831392513,1,Battery,active,28.6139,77.209,1773249881.1194625
hospital_002,383.3,1,Battery,active,12.9716,77.5946,1773249881.1194625
hospital_003,267.40184192378155,1,Grid,active,22.5726,88.3639,1773249881.1194625
factory_001,312.3666044032356,2,Grid,active,22.6708,88.0977,1773249881.1194625
factory_002,372.32402022064156,2,Grid,active,22.6708,88.0977,1773249881.1194625
factory_003,385.46,2,Battery,active,22.6708,88.0977,1773249881.1194625
residential_001,145.9,3,Grid,degraded,28.5355,77.391,1773249881.1194625
residential_002,177.7,3,Grid,active,12.9698,77.75,1773249881.1194625
residential_003,186.8667328208328,3,Grid,active,19.1136,72.8697,1773249881.1194625
hospital_001,339.74,1,Grid,active,28.6139,77.209,1773249911.1194625
hospital_002,237.56,1,Battery,active,12.9716,77.5946,1773249911.1194625
hospital_003,344.12,1,Grid,active,22.5726,88.3639,1773249911.1194625
factory_001,562.24,2,Grid,active,22.6708,88.0977,1773249911.1194625
factory_002,289.1,2,Battery,active,22.6708,88.0977,1773249911.1194625
factory_003,337.33,2,Grid,active,22.6708,88.0977,1773249911.1194625
residential_001,162.19,3,Grid,active,28.5355,77.391,1773249911.1194625
residential_002,181.16,3,Grid,active,12.9698,77.75,1773249911.1194625
residential_003,124.97,3,Grid,active,19.1136,72.8697,1773249911.1194625
hospital_001,316.95,1,Grid,active,28.6139,77.209,1773249941.1194625
hospital_002,335.22,1,Grid,active,12.9716,77.5946,1773249941.1194625
hospital_003,292.62,1,Grid,active,22.5726,88.3639,1773249941.1194625
factory_001,678.2858106201941,2,Grid,active,22.6708,88.0977,1773249941.1194625
factory_002,492.63,2,Battery,active,22.6708,88.0977,1773249941.1194625
factory_003,317.12,2,Battery,active,22.6708,88.0977,1773249941.1194625
residential_001,170.03,3,Grid,active,28.5355,77.391,1773249941.1194625
residential_002,177.76781227044478,3,Grid,active,12.9698,77.75,1773249941.1194625
residential_003,132.10653731320653,3,Grid,active,19.1136,72.8697,1773249941.1194625
hospital_001,302.44,1,Grid,active,28.6139,77.209,1773249971.1194625
hospital_002,401.41,1,Battery,active,12.9716,77.5946,1773249971.1194625
hospital_003,182.47828724480235,1,Grid,active,22.5726,88.3639,1773249971.1194625
factory_001,474.09,2,Grid,active,22.6708,88.0977,1773249971.1194625
factory_002,274.13,2,Battery,active,22.6708,88.0977,1773249971.1194625
factory_003,416.5,2,Battery,active,22.6708,88.0977,1773249971.1194625
residential_001,186.25,3,Grid,active,28.5355,77.391,1773249971.1194625
residential_002,291.16,3,Grid,active,12.9698,77.75,1773249971.1194625
residential_003,100.85510018617519,3,Grid,active,19.1136,72.8697,1773249971.1194625
hospital_001,339.01,1,Grid,active,28.6139,77.209,1773250001.1194625
hospital_002,381.28,1,Battery,active,12.9716,77.5946,1773250001.1194625
hospital_003,351.08,1,Grid,active,22.5726,88.3639,1773250001.1194625
factory_001,363.4,2,Grid,active,22.6708,88.0977,1773250001.1194625
factory_002,525.07,2,Grid,active,22.6708,88.0977,1773250001.1194625
factory_003,326.1504229995764,2,Grid,active,22.6708,88.0977,1773250001.1194625
residential_001,214.54,3,Grid,active,28.5355,77.391,1773250001.1194625
residential_002,226.08,3,Grid,active,12.9698,77.75,1773250001.1194625
residential_003,223.27,3,Grid,active,19.1136,72.8697,1773250001.1194625
hospital_001,273.90865672212686,1,Grid,active,28.6139,77.209,1773250031.1194625
hospital_002,388.4222598615838,1,Battery,active,12.9716,77.5946,1773250031.1194625
hospital_003,306.5868704856599,1,Grid,active,22.5726,88.3639,1773250031.1194625
factory_001,581.19,2,Battery,active,22.6708,88.0977,1773250031.1194625
factory_002,484.03130723605483,2,Grid,active,22.6708,88.0977,1773250031.1194625
factory_003,453.46,2,Battery,active,22.6708,88.0977,1773250031.1194625
residential_001,181.3,3,Grid,active,28.5355,77.391,1773250031.1194625
residential_002,96.85,3,Grid,active,12.9698,77.75,1773250031.1194625
residential_003,176.6,3,Grid,active,19.1136,72.8697,1773250031.1194625
hospital_001,268.15,1,Grid,active,28.6139,77.209,1773250061.1194625
hospital_002,340.37,1,Grid,active,12.9716,77.5946,1773250061.1194625
hospital_003,274.13,1,Grid,active,22.5726,88.3639,1773250061.1194625
factory_001,344.8839709099783,2,Grid,active,22.6708,88.0977,1773250061.1194625
factory_002,549.66,2,Grid,active,22.6708,88.0977,1773250061.1194625
factory_003,467.69,2,Grid,active,22.6708,88.0977,1773250061.1194625
residential_001,220.41,3,Grid,active,28.5355,77.391,1773250061.1194625
residential_002,199.86815873024432,3,Grid,active,12.9698,77.75,1773250061.1194625
residential_003,149.73425459801402,3,Grid,active,19.1136,72.8697,1773250061.1194625
hospital_001,266.41,1,Grid,active,28.6139,77.209,1773250091.1194625
hospital_002,262.55,1,Battery,active,12.9716,77.5946,1773250091.1194625
hospital_003,319.78,1,Grid,active,22.5726,88.3639,1773250091.1194625
factory_001,580.92,2,Grid,active,22.6708,88.0977,1773250091.1194625
factory_002,377.68320900915745,2,Grid,active,22.6708,88.0977,1773250091.1194625
factory_003,482.16,2,Grid,active,22.6708,88.0977,1773250091.1194625
residential_001,108.7,3,Grid,active,28.5355,77.391,1773250091.1194625
residential_002,130.26,3,Grid,active,12.9698,77.75,1773250091.1194625
residential_003,152.83,3,Grid,active,19.1136,72.8697,1773250091.1194625
hospital_001,347.55,1,Grid,active,28.6139,77.209,1773250121.1194625
hospital_002,245.15,1,Grid,active,12.9716,77.5946,1773250121.1194625
hospital_003,289.65,1,Grid,active,22.5726,88.3639,1773250121.1194625
factory_001,316.21,2,Battery,active,22.6708,88.0977,1773250121.1194625
factory_002,414.68712438837235,2,Battery,inactive,22.6708,88.0977,1773250121.1194625
factory_003,382.5,2,Grid,active,22.6708,88.0977,1773250121.1194625
residential_001,71.71,3,Grid,active,28.5355,77.391,1773250121.1194625
residential_002,97.18842511283755,3,Grid,active,12.9698,77.75,1773250121.1194625
residential_003,204.9348109732872,3,Grid,active,19.1136,72.8697,1773250121.1194625
hospital_001,396.8,1,Grid,active,28.6139,77.209,1773250151.1194625
hospital_002,375.69,1,Grid,active,12.9716,77.5946,1773250151.1194625
hospital_003,221.47,1,Grid,active,22.5726,88.3639,1773250151.1194625
factory_001,268.68,2,Grid,active,22.6708,88.0977,1773250151.1194625
factory_002,338.96,2,Grid,active,22.6708,88.0977,1773250151.1194625
factory_003,385.77932715014504,2,Grid,active,22.6708,88.0977,1773250151.1194625
residential_001,165.22348283064048,3,Grid,active,28.5355,77.391,1773250151.1194625
residential_002,87.4908431476078,3,Grid,active,12.9698,77.75,1773250151.1194625
residential_003,151.41,3,Grid,active,19.1136,72.8697,1773250151.1194625
hospital_001,270.6239370729111,1,Battery,active,28.6139,77.209,1773250181.1194625
hospital_002,265.73,1,Battery,active,12.9716,77.5946,1773250181.1194625
hospital_003,298.99,1,Grid,active,22.5726,88.3639,1773250181.1194625
factory_001,297.78,2,Grid,active,22.6708,88.0977,1773250181.1194625
